Model, ProductionYear,NumberofEngines,EngineType,Capacity,Range(km),FuelConsumption(L/h),HourlyMaintenance($),Age,SalesRegion,Price($)
Airbus A350,1997,2,Turbofan,350,14800,9.19,842.98,26,Europe,286341024.1
Airbus A350,1996,2,Turbofan,350,14800,3.58,1979.14,27,South America,367339525.13
Boeing 737,2020,2,Turbofan,162,5700,3.37,2308.03,3,Australia,119195921.38
Airbus A350,1982,2,Turbofan,350,14800,12.72,609.32,41,Australia,306884728.17
Airbus A350,1988,2,Turbofan,350,14800,7.68,2721.1,35,Australia,383896997.62
Bombardier CRJ200,1994,2,Turbofan,50,3000,11.11,1710.73,29,Asia,12940089.47
Bombardier CRJ200,1987,2,Turbofan,50,3000,8.08,2743.37,36,Asia,13470547.25
Airbus A320,2011,2,Turbofan,180,6300,7.68,2738.35,12,Asia,119023076.79
Airbus A320,2014,2,Turbofan,180,6300,10.99,2878.32,9,North America,96608175.87
Airbus A320,1996,2,Turbofan,180,6300,6.91,3700.43,27,Australia,64290272.18
Bombardier CRJ200,2005,2,Turbofan,50,3000,7.89,2914.41,18,North America,13556193.25
Cessna 172,1998,1,Piston,4,1285,37.85,4503.18,25,North America,220133.84
Cessna 172,1996,1,Piston,4,1285,35.43,4869.46,27,Asia,225962.9
Boeing 737,2005,2,Turbofan,162,5700,4.06,4835.98,18,Europe,82102494.01
Boeing 737,2015,2,Turbofan,162,5700,7.43,4925.72,8,Africa,100123998.47
Airbus A320,1988,2,Turbofan,180,6300,8.78,1454.2,35,South America,67821420.14
Boeing 737,2010,2,Turbofan,162,5700,14.68,3716.46,13,Africa,104090482.3
Boeing 737,1987,2,Turbofan,162,5700,5.79,4536.33,36,Europe,56529162.09
Boeing 737,2004,2,Turbofan,162,5700,3.3,2275.49,19,Europe,67097865.41
Boeing 737,1984,2,Turbofan,162,5700,6.75,3928.83,39,Europe,64598974.93
Airbus A350,2019,2,Turbofan,350,14800,8.74,2252.87,4,North America,811726185.35
Airbus A350,1989,2,Turbofan,350,14800,10.09,1960.81,34,Africa,380899648.81
Cessna 172,1982,1,Piston,4,1285,10.71,1739.05,41,Australia,197146.29
Cessna 172,1992,1,Piston,4,1285,33.14,2987.18,31,Europe,197848.59
Bombardier CRJ200,2000,2,Turbofan,50,3000,9.95,4520.04,23,Asia,12874912.87
Cessna 172,1980,1,Piston,4,1285,30.44,1020.71,43,Europe,198367.07
Boeing 777,1996,2,Turbofan,396,15600,12.51,3230.87,27,Europe,397402612.38
Boeing 777,2009,2,Turbofan,396,15600,4.64,3870.54,14,Europe,550360837.18
Bombardier CRJ200,1983,2,Turbofan,50,3000,2.93,4759.29,40,Africa,13150167.67
Airbus A350,1989,2,Turbofan,350,14800,9.76,2687.94,34,North America,402161582.75
Cessna 172,1984,1,Piston,4,1285,10.72,3321.03,39,Europe,197772.24
Airbus A320,2020,2,Turbofan,180,6300,8.39,3237.66,3,Europe,142801717.94
Boeing 777,2022,2,Turbofan,396,15600,6.11,2934.82,1,Australia,824989265.24
Airbus A350,1981,2,Turbofan,350,14800,14.09,3989.73,42,Africa,414837076.86
Boeing 737,1995,2,Turbofan,162,5700,7.16,2742.83,28,South America,60111606.77
Cessna 172,1998,1,Piston,4,1285,30.42,4722.9,25,South America,256674.68
Airbus A320,1989,2,Turbofan,180,6300,6.22,1675.55,34,South America,75382717.29
Boeing 777,1983,2,Turbofan,396,15600,10.82,4694.21,40,Asia,375886589.18
Bombardier CRJ200,1984,2,Turbofan,50,3000,14.63,2947.06,39,Africa,13015259.42
Cessna 172,2014,1,Piston,4,1285,16.42,1934.17,9,Asia,265314.59
Cessna 172,1990,1,Piston,4,1285,45.54,1218.1,33,Australia,218740.2
Boeing 777,2003,2,Turbofan,396,15600,9.39,4958.26,20,Asia,501157866.92
Airbus A320,1986,2,Turbofan,180,6300,2.57,3654.42,37,Australia,81384179.96
Airbus A320,1980,2,Turbofan,180,6300,2.92,1209.35,43,Africa,67356507.19
Boeing 737,2016,2,Turbofan,162,5700,8.89,790.72,7,Asia,102779373.72
Airbus A350,2016,2,Turbofan,350,14800,12.35,1729.94,7,Asia,654236240.67
Airbus A320,2020,2,Turbofan,180,6300,14.93,1440.82,3,Asia,149035624.58
Cessna 172,2014,1,Piston,4,1285,39.06,3980.67,9,Asia,374794.08
Boeing 737,2021,2,Turbofan,162,5700,10.06,3442.63,2,Africa,96182529.72
Cessna 172,2021,1,Piston,4,1285,13.3,3672.43,2,Africa,373755.27
Boeing 777,2023,2,Turbofan,396,15600,4.24,1672.83,0,South America,640234022.92
Airbus A350,2008,2,Turbofan,350,14800,6.76,1125.17,15,Australia,483013819.24
Airbus A320,2023,2,Turbofan,180,6300,11.95,4759.06,0,Africa,156549207.06
Cessna 172,1996,1,Piston,4,1285,16.91,3788.83,27,North America,228268.58
Bombardier CRJ200,2009,2,Turbofan,50,3000,11.72,4921.11,14,Africa,21527018.21
Airbus A320,2009,2,Turbofan,180,6300,13.06,3090.93,14,South America,105840585.0
Boeing 777,1994,2,Turbofan,396,15600,11.68,1019.45,29,Europe,409259630.71
Boeing 777,2020,2,Turbofan,396,15600,10.17,1717.41,3,Australia,729184191.76
Airbus A320,2004,2,Turbofan,180,6300,3.39,1477.15,19,North America,102568589.13
Airbus A320,2003,2,Turbofan,180,6300,2.81,1087.08,20,Australia,92737377.94
Boeing 737,2007,2,Turbofan,162,5700,11.19,1943.89,16,North America,79093550.61
Airbus A320,1982,2,Turbofan,180,6300,12.2,4416.09,41,Africa,70927368.15
Airbus A350,2014,2,Turbofan,350,14800,6.72,3693.95,9,Europe,615062798.9
Airbus A350,1988,2,Turbofan,350,14800,12.95,885.43,35,Australia,329917732.26
Boeing 777,1993,2,Turbofan,396,15600,13.73,4421.53,30,Africa,371583107.02
Airbus A350,2006,2,Turbofan,350,14800,6.61,2025.37,17,Africa,569659293.44
Bombardier CRJ200,2008,2,Turbofan,50,3000,9.71,784.17,15,Africa,17822560.59
Airbus A350,2009,2,Turbofan,350,14800,5.41,4787.69,14,North America,584796074.81
Boeing 777,2000,2,Turbofan,396,15600,11.59,1574.49,23,Australia,393996202.18
Airbus A350,1988,2,Turbofan,350,14800,5.21,4088.39,35,Australia,404478217.34
Cessna 172,1993,1,Piston,4,1285,16.71,2113.6,30,Europe,226469.48
Airbus A320,1992,2,Turbofan,180,6300,9.48,913.84,31,South America,89103830.72
Airbus A320,2022,2,Turbofan,180,6300,4.12,1757.88,1,South America,116696419.58
Boeing 777,2009,2,Turbofan,396,15600,8.03,2669.37,14,South America,608315199.07
Airbus A350,2003,2,Turbofan,350,14800,9.88,3217.53,20,Australia,448132811.71
Boeing 777,1993,2,Turbofan,396,15600,14.95,1076.11,30,Africa,414797892.56
Airbus A320,2010,2,Turbofan,180,6300,8.53,2364.35,13,Asia,119606809.09
Cessna 172,2021,1,Piston,4,1285,17.76,2849.38,2,Africa,435582.63
Boeing 777,2019,2,Turbofan,396,15600,3.12,1236.68,4,Africa,752739428.64
Boeing 737,1992,2,Turbofan,162,5700,5.55,3821.99,31,Europe,72867274.04
Boeing 777,2015,2,Turbofan,396,15600,12.6,1948.6,8,Europe,730587422.15
Bombardier CRJ200,2004,2,Turbofan,50,3000,13.3,2974.95,19,South America,15738952.09
Airbus A350,1991,2,Turbofan,350,14800,5.17,590.73,32,Africa,385922130.47
Boeing 737,1993,2,Turbofan,162,5700,7.75,905.04,30,Africa,62938487.99
Cessna 172,2022,1,Piston,4,1285,23.09,4323.71,1,Europe,460185.72
Boeing 777,2023,2,Turbofan,396,15600,13.64,2028.07,0,South America,905593651.25
Airbus A320,2021,2,Turbofan,180,6300,14.33,1564.9,2,Africa,145103531.64
Cessna 172,1992,1,Piston,4,1285,40.37,3085.6,31,Europe,213362.34
Airbus A350,2000,2,Turbofan,350,14800,13.4,4554.67,23,Africa,366403164.92
Airbus A320,1988,2,Turbofan,180,6300,5.95,710.66,35,Africa,68500732.57
Boeing 777,2019,2,Turbofan,396,15600,4.4,3784.99,4,South America,715629044.65
Cessna 172,2020,1,Piston,4,1285,36.53,2059.88,3,Asia,470552.07
Bombardier CRJ200,1986,2,Turbofan,50,3000,3.52,4825.44,37,Asia,11919774.63
Boeing 737,1981,2,Turbofan,162,5700,4.99,3693.05,42,Asia,60626537.16
Boeing 737,2001,2,Turbofan,162,5700,6.16,1111.58,22,Asia,70493949.46
Boeing 777,2002,2,Turbofan,396,15600,13.69,2038.94,21,Europe,394936248.41
Bombardier CRJ200,1989,2,Turbofan,50,3000,6.16,1974.45,34,Europe,12740405.1
Boeing 777,1984,2,Turbofan,396,15600,10.75,1969.22,39,North America,305483400.06
Cessna 172,2000,1,Piston,4,1285,10.89,1170.9,23,South America,245173.0
Airbus A350,2010,2,Turbofan,350,14800,3.4,1484.76,13,North America,533698554.52
Bombardier CRJ200,1991,2,Turbofan,50,3000,7.01,3759.03,32,North America,12354741.45
Boeing 777,1986,2,Turbofan,396,15600,12.57,830.2,37,South America,338888710.47
Airbus A320,1989,2,Turbofan,180,6300,2.59,4526.07,34,Europe,81846927.66
Airbus A350,1987,2,Turbofan,350,14800,11.78,1408.19,36,South America,334201177.44
Cessna 172,2006,1,Piston,4,1285,44.32,779.11,17,Europe,310778.89
Cessna 172,2015,1,Piston,4,1285,17.83,1911.64,8,Australia,390874.37
Airbus A350,1997,2,Turbofan,350,14800,11.96,695.96,26,Australia,373609973.45
Airbus A320,1987,2,Turbofan,180,6300,7.53,3076.13,36,Australia,74207640.64
Airbus A320,2008,2,Turbofan,180,6300,10.7,4607.97,15,Asia,105286733.5
Boeing 737,1988,2,Turbofan,162,5700,9.45,2470.94,35,Africa,68701195.0
Airbus A350,2004,2,Turbofan,350,14800,7.55,4639.52,19,Africa,495975171.33
Airbus A320,1981,2,Turbofan,180,6300,10.32,1820.35,42,South America,92072169.07
Bombardier CRJ200,2003,2,Turbofan,50,3000,3.99,2389.94,20,Africa,12231353.5
Cessna 172,2016,1,Piston,4,1285,37.64,2612.42,7,Europe,366392.63
Airbus A350,1981,2,Turbofan,350,14800,7.39,1243.57,42,Africa,425635149.35
Bombardier CRJ200,2016,2,Turbofan,50,3000,7.37,4038.32,7,North America,20916179.51
Boeing 777,1985,2,Turbofan,396,15600,12.35,1585.5,38,North America,474340065.52
Boeing 737,1991,2,Turbofan,162,5700,8.82,878.96,32,Europe,59217867.37
Cessna 172,1999,1,Piston,4,1285,39.79,3681.05,24,Australia,321796.86
Airbus A350,1989,2,Turbofan,350,14800,7.32,3775.06,34,Asia,413249556.89
Bombardier CRJ200,1992,2,Turbofan,50,3000,9.76,2397.03,31,Australia,14347057.71
Boeing 777,1998,2,Turbofan,396,15600,4.51,4762.62,25,Australia,353455712.8
Boeing 737,2002,2,Turbofan,162,5700,3.71,3318.64,21,South America,66224069.55
Airbus A350,1981,2,Turbofan,350,14800,12.77,4470.56,42,South America,351213472.25
Cessna 172,2006,1,Piston,4,1285,43.23,4698.3,17,Europe,340550.92
Boeing 777,1996,2,Turbofan,396,15600,11.12,2746.92,27,Europe,475320816.13
Cessna 172,1997,1,Piston,4,1285,28.48,1989.39,26,South America,245503.05
Boeing 737,2011,2,Turbofan,162,5700,6.65,851.55,12,North America,98450710.11
Airbus A320,1983,2,Turbofan,180,6300,9.22,4833.79,40,Australia,79060050.44
Airbus A320,1999,2,Turbofan,180,6300,4.41,3229.8,24,North America,77912619.68
Airbus A350,2007,2,Turbofan,350,14800,10.69,1781.09,16,North America,516476547.49
Boeing 737,1997,2,Turbofan,162,5700,2.65,1896.4,26,Australia,60196188.25
Bombardier CRJ200,2009,2,Turbofan,50,3000,2.97,783.97,14,Australia,18952623.53
Boeing 737,2001,2,Turbofan,162,5700,4.31,1632.91,22,South America,66029149.43
Boeing 737,1988,2,Turbofan,162,5700,4.26,4121.13,35,South America,70389878.61
Boeing 737,2016,2,Turbofan,162,5700,10.94,2717.96,7,Asia,121288950.17
Boeing 777,2004,2,Turbofan,396,15600,4.97,4661.7,19,Europe,575397980.44
Airbus A350,2004,2,Turbofan,350,14800,13.49,2721.74,19,Africa,491316806.87
Boeing 737,2023,2,Turbofan,162,5700,4.47,1669.46,0,North America,110580111.7
Bombardier CRJ200,2004,2,Turbofan,50,3000,9.98,2564.61,19,North America,13734019.06
Boeing 777,2012,2,Turbofan,396,15600,14.29,3261.02,11,Africa,555479349.6
Airbus A350,2001,2,Turbofan,350,14800,12.18,3536.34,22,Europe,359432985.37
Boeing 777,1996,2,Turbofan,396,15600,12.49,2544.2,27,South America,365484985.84
Airbus A320,2011,2,Turbofan,180,6300,13.01,2553.35,12,North America,107582882.21
Boeing 777,1985,2,Turbofan,396,15600,2.3,4417.99,38,Africa,385523733.74
Bombardier CRJ200,1985,2,Turbofan,50,3000,4.4,1921.07,38,Australia,12317617.79
Boeing 777,2012,2,Turbofan,396,15600,14.64,4604.14,11,Asia,651957128.33
Boeing 737,1988,2,Turbofan,162,5700,5.05,2736.94,35,Asia,59737077.67
Airbus A320,1984,2,Turbofan,180,6300,2.53,3688.67,39,Europe,73279816.44
Boeing 777,1984,2,Turbofan,396,15600,9.91,731.12,39,Europe,452531952.97
Cessna 172,1995,1,Piston,4,1285,42.24,2173.46,28,Asia,239090.45
Boeing 737,1980,2,Turbofan,162,5700,3.37,2901.31,43,Australia,62505618.4
Boeing 737,2001,2,Turbofan,162,5700,3.9,2693.82,22,South America,66747687.95
Boeing 737,1989,2,Turbofan,162,5700,5.69,4404.69,34,South America,67680469.71
Bombardier CRJ200,2009,2,Turbofan,50,3000,4.5,3191.21,14,Australia,19302070.7
Boeing 777,2022,2,Turbofan,396,15600,2.62,1493.17,1,Asia,722569994.1
Cessna 172,1987,1,Piston,4,1285,24.66,4249.15,36,Asia,187620.98
Bombardier CRJ200,1988,2,Turbofan,50,3000,7.71,3895.8,35,Europe,12737770.81
Bombardier CRJ200,1985,2,Turbofan,50,3000,12.62,3298.21,38,Europe,11599135.75
Boeing 737,1985,2,Turbofan,162,5700,7.51,3432.14,38,Asia,65106370.48
Airbus A350,2023,2,Turbofan,350,14800,6.26,3821.19,0,Europe,746032626.48
Airbus A320,1983,2,Turbofan,180,6300,12.0,4222.42,40,Australia,74383791.25
Boeing 737,2004,2,Turbofan,162,5700,12.31,1783.38,19,North America,85253601.32
Bombardier CRJ200,2013,2,Turbofan,50,3000,12.13,4719.82,10,Europe,16582375.05
Airbus A350,1992,2,Turbofan,350,14800,5.04,2865.87,31,Australia,393961978.26
Airbus A350,2018,2,Turbofan,350,14800,7.03,4136.05,5,Australia,643842492.76
Airbus A320,2010,2,Turbofan,180,6300,6.33,4208.67,13,North America,128815551.99
Bombardier CRJ200,2023,2,Turbofan,50,3000,10.0,2480.6,0,South America,24855266.27
Boeing 737,2008,2,Turbofan,162,5700,13.25,4277.27,15,Europe,113264791.67
Cessna 172,1980,1,Piston,4,1285,47.09,2850.17,43,Asia,177217.74
Airbus A320,1992,2,Turbofan,180,6300,6.27,2589.01,31,North America,87233550.11
Airbus A320,2014,2,Turbofan,180,6300,12.69,2321.26,9,South America,119596975.93
Airbus A320,1987,2,Turbofan,180,6300,6.37,1689.55,36,Australia,85250836.7
Boeing 737,1992,2,Turbofan,162,5700,2.35,4294.67,31,Europe,65201783.22
Boeing 777,1994,2,Turbofan,396,15600,4.95,3379.53,29,Europe,390308120.87
Airbus A350,2020,2,Turbofan,350,14800,13.21,1486.15,3,South America,679563089.98
Boeing 777,2018,2,Turbofan,396,15600,12.85,2392.3,5,Africa,749308882.08
Cessna 172,2020,1,Piston,4,1285,42.56,3969.53,3,North America,437085.56
Airbus A320,2007,2,Turbofan,180,6300,4.04,1966.78,16,North America,106989677.1
Boeing 777,1995,2,Turbofan,396,15600,9.01,3689.3,28,South America,378337109.1
Boeing 737,2021,2,Turbofan,162,5700,2.52,3446.85,2,Australia,131648417.25
Boeing 777,1998,2,Turbofan,396,15600,11.32,3243.12,25,Europe,348229124.21
Boeing 737,1983,2,Turbofan,162,5700,12.83,2919.34,40,Asia,59826814.24
Airbus A350,2002,2,Turbofan,350,14800,5.28,1955.96,21,Australia,462270120.55
Boeing 737,2019,2,Turbofan,162,5700,14.8,1078.56,4,Africa,128377214.55
Boeing 737,2023,2,Turbofan,162,5700,8.51,3236.28,0,Australia,137379546.47
Airbus A350,1980,2,Turbofan,350,14800,5.71,1597.84,43,Australia,363251298.03
Bombardier CRJ200,1985,2,Turbofan,50,3000,11.87,1050.85,38,North America,14096045.58
Cessna 172,2003,1,Piston,4,1285,36.05,1483.12,20,Australia,294044.03
Bombardier CRJ200,2018,2,Turbofan,50,3000,6.65,3944.56,5,Australia,20511175.61
Boeing 737,2016,2,Turbofan,162,5700,2.44,3911.62,7,North America,121398985.61
Bombardier CRJ200,2000,2,Turbofan,50,3000,14.6,2980.24,23,Africa,12124435.73
Boeing 777,2010,2,Turbofan,396,15600,9.39,4430.04,13,North America,582874091.68
Airbus A350,1999,2,Turbofan,350,14800,3.47,2232.95,24,Africa,388944752.73
Boeing 777,2014,2,Turbofan,396,15600,6.55,1773.18,9,Australia,695241295.42
Airbus A320,1994,2,Turbofan,180,6300,9.82,1718.14,29,South America,88430060.27
Airbus A320,1982,2,Turbofan,180,6300,5.28,2403.97,41,Australia,77138999.85
Boeing 777,2006,2,Turbofan,396,15600,5.95,4925.37,17,Africa,544703316.61
Airbus A350,2000,2,Turbofan,350,14800,8.65,4711.16,23,Africa,380681812.32
Airbus A350,2009,2,Turbofan,350,14800,6.88,511.35,14,Africa,525295613.09
Airbus A320,1989,2,Turbofan,180,6300,7.7,4055.12,34,Australia,71017986.4
Airbus A350,2006,2,Turbofan,350,14800,9.24,2443.66,17,Asia,545077195.42
Airbus A320,2000,2,Turbofan,180,6300,12.68,1887.6,23,Africa,86746711.07
Bombardier CRJ200,1989,2,Turbofan,50,3000,5.91,3046.7,34,Africa,10938769.96
Boeing 777,1980,2,Turbofan,396,15600,5.0,3302.12,43,Africa,342384958.45
Bombardier CRJ200,1991,2,Turbofan,50,3000,9.47,4641.5,32,Europe,12882908.37
Cessna 172,1991,1,Piston,4,1285,27.45,664.74,32,Europe,204705.99
Boeing 737,1981,2,Turbofan,162,5700,7.42,1029.05,42,Africa,65937727.59
Airbus A350,1989,2,Turbofan,350,14800,6.54,3815.4,34,North America,412345019.43
Boeing 777,1992,2,Turbofan,396,15600,11.22,4749.79,31,Asia,330014745.21
Airbus A350,2005,2,Turbofan,350,14800,9.49,4634.08,18,Europe,390437302.06
Boeing 777,2015,2,Turbofan,396,15600,7.42,3678.71,8,North America,717024744.68
Airbus A320,1992,2,Turbofan,180,6300,8.52,3235.21,31,Africa,71243010.74
Cessna 172,2011,1,Piston,4,1285,18.33,3308.09,12,Africa,314342.54
Airbus A350,1990,2,Turbofan,350,14800,12.51,2327.03,33,Africa,398635415.29
Bombardier CRJ200,1983,2,Turbofan,50,3000,9.12,3178.03,40,North America,12155026.75
Boeing 737,1984,2,Turbofan,162,5700,2.55,2817.22,39,North America,68440607.03
Bombardier CRJ200,2010,2,Turbofan,50,3000,2.1,812.38,13,South America,17555263.94
Boeing 777,1989,2,Turbofan,396,15600,12.99,2608.53,34,Europe,429265442.29
Cessna 172,2011,1,Piston,4,1285,34.38,3241.61,12,Europe,352334.15
Airbus A350,2011,2,Turbofan,350,14800,2.69,1246.23,12,Asia,536718050.79
Boeing 777,2020,2,Turbofan,396,15600,5.48,1362.22,3,Europe,818397502.64
Boeing 777,2020,2,Turbofan,396,15600,10.8,1480.21,3,North America,656878058.61
Bombardier CRJ200,2019,2,Turbofan,50,3000,3.91,910.09,4,Africa,24047754.77
Cessna 172,1987,1,Piston,4,1285,48.75,4368.05,36,South America,214069.38
Airbus A320,2013,2,Turbofan,180,6300,10.79,3427.16,10,North America,143369831.28
Boeing 777,2003,2,Turbofan,396,15600,9.07,1162.04,20,Australia,546792176.96
Airbus A320,2003,2,Turbofan,180,6300,7.75,2237.31,20,South America,83842982.9
Airbus A350,1984,2,Turbofan,350,14800,2.82,2117.69,39,Asia,374878918.34
Airbus A350,2003,2,Turbofan,350,14800,3.54,4908.51,20,Africa,468793329.66
Airbus A320,1993,2,Turbofan,180,6300,3.76,2672.2,30,North America,75978168.79
Bombardier CRJ200,1994,2,Turbofan,50,3000,3.51,2229.04,29,North America,13696403.18
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.88,3136.86,13,North America,17387579.97
Cessna 172,2001,1,Piston,4,1285,23.76,1402.63,22,South America,238087.71
Boeing 777,1992,2,Turbofan,396,15600,6.13,4267.16,31,Europe,443434897.48
Boeing 777,2020,2,Turbofan,396,15600,11.77,2024.79,3,South America,696920336.69
Airbus A320,2017,2,Turbofan,180,6300,3.1,4877.92,6,South America,147743781.26
Airbus A320,1995,2,Turbofan,180,6300,9.74,808.26,28,Africa,75601134.07
Cessna 172,2010,1,Piston,4,1285,21.59,3213.03,13,Asia,314047.69
Boeing 777,2012,2,Turbofan,396,15600,8.35,2448.26,11,Asia,618745508.37
Airbus A350,1989,2,Turbofan,350,14800,11.26,2418.44,34,South America,344706578.44
Boeing 777,1985,2,Turbofan,396,15600,4.41,3405.5,38,South America,371322680.71
Airbus A350,2009,2,Turbofan,350,14800,10.54,1305.28,14,South America,494346325.72
Bombardier CRJ200,1997,2,Turbofan,50,3000,10.48,4974.94,26,Asia,10315342.06
Airbus A350,2004,2,Turbofan,350,14800,13.84,1906.61,19,Europe,541357034.36
Boeing 777,1989,2,Turbofan,396,15600,8.46,4860.51,34,North America,436278828.19
Boeing 737,2010,2,Turbofan,162,5700,11.95,1096.06,13,Europe,86820243.35
Airbus A320,2020,2,Turbofan,180,6300,3.62,4185.27,3,Asia,147220010.33
Boeing 777,2002,2,Turbofan,396,15600,9.57,1607.33,21,South America,495117612.0
Airbus A350,2015,2,Turbofan,350,14800,4.68,2389.7,8,Europe,739870716.06
Boeing 777,2000,2,Turbofan,396,15600,6.33,819.11,23,Africa,392820995.3
Boeing 777,2018,2,Turbofan,396,15600,11.74,580.08,5,South America,675995506.3
Airbus A320,2021,2,Turbofan,180,6300,2.29,4841.32,2,Europe,153134499.42
Cessna 172,2018,1,Piston,4,1285,41.05,3154.82,5,Asia,353753.7
Boeing 777,1983,2,Turbofan,396,15600,9.31,701.9,40,Australia,507043919.15
Airbus A320,2013,2,Turbofan,180,6300,12.05,2342.21,10,South America,146226532.4
Boeing 777,1995,2,Turbofan,396,15600,3.73,956.34,28,Africa,362965714.27
Airbus A350,1980,2,Turbofan,350,14800,2.59,1128.7,43,North America,425558890.93
Boeing 777,1993,2,Turbofan,396,15600,9.47,3246.85,30,Europe,405574069.12
Boeing 777,1981,2,Turbofan,396,15600,6.42,3562.81,42,Asia,341565485.86
Bombardier CRJ200,2021,2,Turbofan,50,3000,4.1,3704.49,2,Africa,20756207.79
Boeing 737,2003,2,Turbofan,162,5700,9.75,558.61,20,Africa,77265276.07
Airbus A320,2008,2,Turbofan,180,6300,10.75,4023.15,15,Australia,116191943.67
Airbus A350,2015,2,Turbofan,350,14800,11.34,2738.46,8,Europe,592898036.88
Cessna 172,2008,1,Piston,4,1285,18.95,2012.59,15,North America,317537.85
Boeing 737,1997,2,Turbofan,162,5700,13.51,2534.78,26,Africa,55792568.88
Boeing 777,1992,2,Turbofan,396,15600,8.7,4371.65,31,Australia,338349090.54
Cessna 172,2009,1,Piston,4,1285,44.43,2909.52,14,North America,369550.19
Airbus A320,2017,2,Turbofan,180,6300,4.32,885.4,6,Europe,136469464.92
Boeing 777,1981,2,Turbofan,396,15600,8.43,2319.69,42,Asia,379794508.08
Boeing 737,2000,2,Turbofan,162,5700,10.96,4838.13,23,South America,74375916.1
Airbus A350,2003,2,Turbofan,350,14800,11.12,2268.23,20,Europe,467432300.32
Boeing 777,2004,2,Turbofan,396,15600,8.51,2138.88,19,South America,544611348.39
Boeing 737,2020,2,Turbofan,162,5700,10.21,4573.14,3,Africa,108001122.08
Bombardier CRJ200,2000,2,Turbofan,50,3000,14.72,1821.86,23,Africa,12709557.08
Airbus A320,2000,2,Turbofan,180,6300,8.13,2468.13,23,South America,93321227.38
Boeing 737,2021,2,Turbofan,162,5700,11.02,3217.68,2,North America,121796998.86
Boeing 777,2016,2,Turbofan,396,15600,2.38,2252.36,7,South America,722556392.71
Boeing 737,2012,2,Turbofan,162,5700,9.81,4300.29,11,Asia,108569043.29
Bombardier CRJ200,1988,2,Turbofan,50,3000,7.09,1104.66,35,Africa,11996742.83
Boeing 737,1984,2,Turbofan,162,5700,3.21,4405.23,39,Europe,64761822.67
Airbus A320,1986,2,Turbofan,180,6300,6.56,2003.83,37,South America,81866607.05
Airbus A320,1995,2,Turbofan,180,6300,5.88,785.31,28,Asia,75176603.17
Boeing 777,2002,2,Turbofan,396,15600,11.04,545.79,21,North America,531322887.87
Boeing 737,2006,2,Turbofan,162,5700,4.71,2184.72,17,North America,94336211.15
Boeing 737,2011,2,Turbofan,162,5700,12.54,3741.44,12,Africa,96058883.54
Cessna 172,1983,1,Piston,4,1285,16.72,1619.22,40,South America,189390.72
Airbus A350,2021,2,Turbofan,350,14800,9.0,3804.46,2,Africa,665746205.77
Bombardier CRJ200,1989,2,Turbofan,50,3000,13.03,4849.94,34,South America,10836062.44
Boeing 737,1993,2,Turbofan,162,5700,7.98,4459.76,30,Africa,54277845.48
Airbus A320,1987,2,Turbofan,180,6300,7.21,849.7,36,North America,89751650.77
Airbus A320,1995,2,Turbofan,180,6300,5.73,3172.91,28,Asia,77019537.96
Bombardier CRJ200,2023,2,Turbofan,50,3000,3.62,2152.08,0,South America,24562253.74
Boeing 737,1983,2,Turbofan,162,5700,2.52,2321.74,40,Australia,59210764.35
Bombardier CRJ200,1994,2,Turbofan,50,3000,9.07,2651.74,29,Africa,10222476.49
Boeing 737,1982,2,Turbofan,162,5700,8.8,1737.46,41,Europe,50786516.89
Airbus A320,1989,2,Turbofan,180,6300,9.09,4235.9,34,Europe,79127426.71
Cessna 172,2000,1,Piston,4,1285,47.89,1995.21,23,North America,208880.97
Airbus A350,2020,2,Turbofan,350,14800,10.62,1763.87,3,Australia,804879122.22
Airbus A350,1981,2,Turbofan,350,14800,10.15,4913.67,42,South America,359447244.04
Boeing 777,2011,2,Turbofan,396,15600,13.78,2331.29,12,Asia,650967501.91
Bombardier CRJ200,2006,2,Turbofan,50,3000,14.76,3905.9,17,South America,15491322.51
Boeing 737,1982,2,Turbofan,162,5700,13.71,2889.81,41,Europe,72972074.18
Cessna 172,1982,1,Piston,4,1285,20.22,2982.41,41,Europe,228619.54
Airbus A320,2017,2,Turbofan,180,6300,11.67,935.24,6,Africa,99926084.52
Boeing 737,2002,2,Turbofan,162,5700,7.26,992.09,21,Australia,72522411.01
Boeing 737,2017,2,Turbofan,162,5700,6.44,4289.07,6,North America,127236146.86
Cessna 172,1990,1,Piston,4,1285,18.38,4809.36,33,Africa,196469.99
Airbus A320,1989,2,Turbofan,180,6300,8.53,4931.34,34,South America,84306528.02
Boeing 737,2020,2,Turbofan,162,5700,8.57,4779.79,3,Australia,88671892.85
Cessna 172,1998,1,Piston,4,1285,31.35,2006.94,25,North America,183359.53
Cessna 172,2003,1,Piston,4,1285,11.47,2536.5,20,South America,235204.72
Airbus A350,1990,2,Turbofan,350,14800,9.79,4403.46,33,Europe,346568527.9
Cessna 172,1996,1,Piston,4,1285,48.27,3936.57,27,North America,193219.2
Airbus A320,2000,2,Turbofan,180,6300,8.12,2314.89,23,North America,79763016.7
Airbus A350,1987,2,Turbofan,350,14800,9.28,4529.13,36,Australia,410167804.07
Boeing 777,2008,2,Turbofan,396,15600,4.11,2776.24,15,Asia,508145121.04
Airbus A350,2018,2,Turbofan,350,14800,13.85,3095.69,5,Australia,689558020.1
